Train,Eval
45186660.0,48534824.0
22593331.903553247,24267413.705891013
15062222.311100403,32427417.137260675
3.552696466445923,4.0458083152771
3.4073227643966675,25072914.022904158
3.70475697517395,16715276.537457744
2.591233253479004,6.458587169647217
24434365.295616627,4.548954010009766
32238467.530411083,5.090551217397054
44718720.0,2.7098207473754883
22359361.368162394,3.2502444982528687
14906241.65826424,29760439.500163
1.7493070363998413,5.552073955535889
23755660.87465352,44759998.77603698
15837108.589192986,44060759.184024654
